Name,Color,Rarity,Level,Cost,Type,AP,HP,Zone,Trait,Link,Skill,Source,Card #,Edition
Nahel Argama,Blue,U,3,2,BASE,-,5,Space Earth,(Earth Federation) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 enemy Unit with 3 or less HP. Rest it.",GD01,123,1
Side 7,Blue,C,1,1,BASE,-,4,Space,(Earth Federation) (Stronghold),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：Choose 1 friendly Unit. It recovers 1 HP.,GD01,124,1
Zanzibar,Green,U,4,2,BASE,-,5,Space Earth,(Zeon) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, you may deploy 1 (Zeon) Unit card that is Lv.4 or lower from your hand.",GD01,125,1
Underground Desert Base,Green,C,2,1,BASE,-,6,Earth,(Maganac Corps) (Stronghold),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand.,GD01,126,1
Gamow,Red,U,2,1,BASE,-,5,Space,(ZAFT) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Action】Rest this Base：Choose 1 friendly (ZAFT) Unit with 5 or more AP. It gains <Breach 3> during this battle. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",GD01,127,1
Mining Asteroid Palau,Red,C,2,1,BASE,-,6,Space,(Neo Zeon) (Stronghold),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand.,GD01,128,1
Kusanagi,White,U,4,2,BASE,-,4,Space,(Triple Ship Alliance) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 enemy Unit with 3 or less HP. Return it to its owner's hand.",GD01,129,1
13th Tactical Testing Sector,White,C,3,1,BASE,-,5,Space,(Academy) (Stronghold),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：If a friendly (Academy) Unit is in play, choose 1 enemy Unit. It gets AP-1 during this turn.",GD01,130,1
White Base,Blue,C,3,2,BASE,-,5,Space Earth,(Earth Federation) (White Base Team) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】【Once per Turn】②：Deploy 1 [Gundam]((White Base Team)･AP3･HP3) Unit token if you have no Units in play, deploy 1 [Guncannon]((White Base Team)･AP2･HP2) Unit token if you have only 1 Unit in play, or deploy 1 [Guntank]((White Base Team)･AP1･HP1) Unit token if you have 2 or more Units in play.",ST01,15,1
White Base,Blue,C +,3,2,BASE,-,5,Space Earth,(Earth Federation) (White Base Team) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】【Once per Turn】②：Deploy 1 [Gundam]((White Base Team)･AP3･HP3) Unit token if you have 0 Units in play, deploy 1 [Guncannon]((White Base Team)･AP2･HP2) Unit token if you have only 1 Unit in play, or deploy 1 [Guntank]((White Base Team)･AP1･HP1) Unit token if you have 2 or more Units in play.",ST01,15,1
"Asticassia School of Technology, Earth House",White,C,2,1,BASE,-,5,Space,(Academy) (Stronghold),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：All friendly Link Units get AP+1 during this turn.,ST01,16,1
"Asticassia School of Technology, Earth House",White,C +,2,1,BASE,-,5,Space,(Academy) (Stronghold),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：All friendly Link Units get AP+1 during this turn.,ST01,16,1
Saint Gabriel Institute,Green,C,2,2,BASE,-,5,Earth,(Academy) (Stronghold),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, look at the top 2 cards of your deck and return 1 to the top and 1 to the bottom.",ST02,15,1
Saint Gabriel Institute,Green,C +,2,2,BASE,-,5,Earth,(Academy) (Stronghold),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, look at the top 2 cards of your deck and return 1 to the top and 1 to the bottom.",ST02,15,1
Corsica Base,Blue,C,3,3,BASE,-,5,Earth,(OZ) (Stronghold),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, deploy 1 [Tallgeese]((OZ)･AP4･HP2) Unit token. If it is your turn and a card with ""Corsica Base"" in its card name is in your trash, deploy 2 [Leo]((OZ)･AP1･HP1) Unit tokens instead.",ST02,16,1
